"Data Source","World Development Indicators",

"Last Updated Date","2022-12-22",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Bosnia and Herzegovina","BIH","Market capitalization of listed domestic companies (% of GDP)","CM.MKT.LCAP.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Belarus","BLR","Market capitalization of listed domestic companies (% of GDP)","CM.MKT.LCAP.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.729326220006709","0.945908267407083","2.59572717985445","","","","","",
"Belize","BLZ","Market capitalization of listed domestic companies (% of GDP)","CM.MKT.LCAP.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bermuda","BMU","Market capitalization of listed domestic companies (% of GDP)","CM.MKT.LCAP.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","61.6627861637443","69.5017474608632","54.6831425561334","69.2865801589624","41.2388512684118","43.6466853021362","44.0027669270833","40.3592433870253","27.3972779369627","20.435546875","23.1357899569615","19.5216271475984","23.3122636084104","22.6887621493913","24.9685531061174","27.8005650577553","36.5458141628288","38.065943875908","33.1193968649499","39.9449583179822","3.2001640156657","",
"Bolivia","BOL","Market capitalization of listed domestic companies (% of GDP)","CM.MKT.LCAP.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Brazil","BRA","Market capitalization of listed domestic companies (% of GDP)","CM.MKT.LCAP.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","34.5034609994373","33.2572350383358","24.8654984732704","42.0185893965664","49.3574860146441","53.2336042601455","64.1225727006779","98.0406995499448","34.9072399287851","80.2178650264131","69.9708225535385","46.9740650049287","49.7911998679477","41.2670848575827","34.360602216353","27.2184107033655","42.2430721527818","46.2666082473272","47.8273203834988","63.3842895220697","68.2315082721247","",
"Barbados","BRB","Market capitalization of listed domestic companies (% of GDP)","CM.MKT.LCAP.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.8432281927711","23.9431622371158","22.1752703745234","32.3965684055532","45.4293631840796","62.2448718143311","68.9750214923362","55.7780683118157","60.1505974791292","","","","","","","","","48.26897591293","98.0638628368346","","85.20950234778","57.1421045818329","62.4186825162246","64.0728453782625","67.266088536531","69.4797573734965","63.8211954735409","59.5151761633632","",
"Brunei Darussalam","BRN","Market capitalization of listed domestic companies (% of GDP)","CM.MKT.LCAP.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bhutan","BTN","Market capitalization of listed domestic companies (% of GDP)","CM.MKT.LCAP.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Botswana","BWA","Market capitalization of listed domestic companies (% of GDP)","CM.MKT.LCAP.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.49507837312462","6.22867769751456","8.40441106586753","6.77386019149979","12.2144177260773","15.1125398340249","19.1818129598524","16.8893284593426","","","","","","","","","","","","","","","","","","","","","",
"Central African Republic","CAF","Market capitalization of listed domestic companies (% of GDP)","CM.MKT.LCAP.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Canada","CAN","Market capitalization of listed domestic companies (% of GDP)","CM.MKT.LCAP.GD.ZS","","","","","","","","","","","","","","","","","","82.1984201864293","82.1882052885751","98.3018073370421","104.328233642502","","66.0569664195794","75.6528941721409","69.4010706161745","80.294700832204","89.2585656134999","94.0378196410025","88.0659462087665","96.1669032653439","77.2277822005002","83.3376556468117","77.3057759822016","103.178539048197","99.5809125026124","111.209872784759","139.973377754739","154.278987250564","170.651061514196","213.48055031446","103.500141588137","83.2586047944362","116.831457041084","101.640345797861","114.690672619493","126.346747568222","128.913321846832","148.864363431601","66.5588326938396","122.028302011667","134.24451997318","106.666121933061","112.667432969218","114.471175200682","116.041579457855","102.370078691396","130.466596582731","143.522053482469","112.320751199607","138.293784904308","160.533432176195","",
"Central Europe and the Baltics","CEB","Market capitalization of listed domestic companies (% of GDP)","CM.MKT.LCAP.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.89168984740163","9.19065822733752","10.3456428682973","10.0961346623485","12.8319271032449","13.4309237931807","10.94374748183","13.9678366181727","14.973717212799","22.8043492586715","24.7940455492114","34.3336890244378","41.325406003709","15.3338414285756","24.6520464762248","27.1413419005512","18.8778936392045","","27.0272026753177","21.9079290651199","22.7179134588402","23.2396108441405","29.0645015472785","21.4618905096521","19.5496224727378","21.3179307730775","",
"Switzerland","CHE","Market capitalization of listed domestic companies (% of GDP)","CM.MKT.LCAP.GD.ZS","","","","","","","","","","","","","","","","","","","","","34.8366414628422","34.1351564505555","33.6508280100468","38.4214058836771","36.5845160710412","75.7200174980828","80.7971218006666","65.0468830211045","65.0568921849554","82.0698884519273","59.3138396010364","70.537859868005","69.3544981151107","99.501061780299","94.5588810622816","112.829257361019","117.694801475774","195.17042141862","227.1144034009","227.691182218586","283.764488384759","184.015277518579","198.080931922611","200.815468143075","205.266553359768","224.415879358657","274.555956843088","259.74137859237","155.188515971916","192.10785405491","205.285869216028","152.191289307885","179.691521499822","218.15684108399","205.813680009389","218.885413149087","204.007104415449","242.591347670345","198.624945550186","254.301608931646","270.518451944154","",
"Channel Islands","CHI","Market capitalization of listed domestic companies (% of GDP)","CM.MKT.LCAP.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.67683913696184","3.94943273518987","3.96123677063355","7.28505393764434","3.98953330914242","3.10054827154309","2.15455851883562","6.08725240814463","15.2922411139505","","","","","","","","","","","","","","","",
"Chile","CHL","Market capitalization of listed domestic companies (% of GDP)","CM.MKT.LCAP.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","74.3717547413388","70.1779003699701","90.9440673550607","119.368934761618","99.2929011783009","83.9603131710736","84.0395479683991","63.2550489860875","90.2526943564283","77.1895968604588","78.7360445476893","70.8828170849505","113.094562823084","118.010878566383","111.591704774505","113.376703883859","123.379121051271","73.3638335100912","134.606401980721","157.434521889859","107.588509850411","117.273040795633","95.6393720857939","89.9154944444042","78.4967545319576","85.2310007853232","106.625589605952","84.880605597428","73.1524831709444","73.0231746298557","",
"China","CHN","Market capitalization of listed domestic companies (% of GDP)","CM.MKT.LCAP.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30.8969757421118","22.8972279019299","17.5791008668567","41.6206404464261","126.153074837245","38.717134648483","70.0384245968785","66.1694080040316","45.1845094865831","43.3342285151268","41.2641155741683","57.3227322315636","74.0223299646411","65.1701073666934","70.7634243309348","45.5197035695142","59.6326446081317","83.1613343888268","",
"Cote d'Ivoire","CIV","Market capitalization of listed domestic companies (% of GDP)","CM.MKT.LCAP.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.00839431579487","0.234917484083877","0.568083325720925","0.343586250090026","","9.30317123352591","6.8540115366706","2.6320562332443","5.85483977583907","7.28194325720111","7.7645821588651","8.85839590586196","9.70344906707545","16.4360265697931","28.8774110668537","20.7985778826573","18.0728994943949","20.4890584140306","17.1353605725787","","27.6398137007967","23.9755910628247","27.2686428468092","25.7768297610211","24.2026471004016","14.5717965473325","13.8370508588426","11.9503826558372","",
"Cameroon","CMR","Market capitalization of listed domestic companies (% of GDP)","CM.MKT.LCAP.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Congo, Dem. Rep.","COD","Market capitalization of listed domestic companies (% of GDP)","CM.MKT.LCAP.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Congo, Rep.","COG","Market capitalization of listed domestic companies (% of GDP)","CM.MKT.LCAP.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Colombia","COL","Market capitalization of listed domestic companies (% of GDP)","CM.MKT.LCAP.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","34.6800507155774","34.7759024600738","49.4495336318739","36.2183842202831","60.4652447749903","72.7594516448402","60.0982861893445","70.6622260089633","53.0449355336555","38.5045964068433","29.2881751925821","36.7077217542662","38.9495244999877","31.0738880028088","40.8654847817487","39.3322996390095","",
"Comoros","COM","Market capitalization of listed domestic companies (% of GDP)","CM.MKT.LCAP.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cabo Verde","CPV","Market capitalization of listed domestic companies (% of GDP)","CM.MKT.LCAP.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Costa Rica","CRI","Market capitalization of listed domestic companies (% of GDP)","CM.MKT.LCAP.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.72539895891104","","5.32758974151201","6.7013320119888","6.52014209469263","9.56054903611554","16.1934174230161","","","","3.013531827231","8.37318749280863","7.53588614603866","8.27543599299201","8.1154707770548","6.18578592661254","4.7762107434301","3.83689099439273","3.50404185304859","","3.82724739056034","4.90491375982649","4.16980871286128","4.9582802937397","4.97514348490621","3.84670562175532","3.44214560563328","3.05878556532782","",
"Caribbean small states","CSS","Market capitalization of listed domestic companies (% of GDP)","CM.MKT.LCAP.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cuba","CUB","Market capitalization of listed domestic companies (% of GDP)","CM.MKT.LCAP.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Curacao","CUW","Market capitalization of listed domestic companies (% of GDP)","CM.MKT.LCAP.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cayman Islands","CYM","Market capitalization of listed domestic companies (% of GDP)","CM.MKT.LCAP.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.76151118462001","3.69421826341421","3.46698742511302","3.94687486372227","5.72529538220964","54.3664195672702","46.7545014534837","","","6.703641176646","","","7.91718101017441","6.37745970313961","11.4872747490694","",
"Cyprus","CYP","Market capitalization of listed domestic companies (% of GDP)","CM.MKT.LCAP.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","80.4971453282115","71.9740908572551","28.6874352747268","39.5787818077948","26.4892803484608","10.3223755978361","7.96749210530581","8.7839291829547","17.3549653004648","13.5234029714303","11.9320510796107","12.2997625157314","12.9451028103914","16.515520564047","18.7662978272974","",
"Czechia","CZE","Market capitalization of listed domestic companies (% of GDP)","CM.MKT.LCAP.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.25969781095513","12.7148883592788","15.2719893178376","21.1434449609267","17.396401213075","15.6132185373065","16.2381795049497","15.7633010201195","12.0193723986343","12.4779428060834","15.4937132124081","22.4441738969806","25.4378933697062","28.3956015687869","36.2350471910203","17.2759720963625","","","","","","","","","","","10.4190416274857","10.819655555285","",
"Germany","DEU","Market capitalization of listed domestic companies (% of GDP)","CM.MKT.LCAP.GD.ZS","","","","","","","","","","","","","","","","10.4762503802528","10.274041843258","10.8411858483982","11.3025054183034","9.00894928653513","7.54670735932997","7.8183091563042","8.8791104812933","10.7527190446503","10.8077462123645","24.3379302678639","24.6284292567379","16.8284933812987","17.9033037091785","26.103213726988","20.0551196306106","19.8299126434607","15.42017566067","21.3243449456562","22.6383292404143","22.3286969161991","26.6206725746078","37.3072613594065","48.8725783224948","65.2484138800771","65.2081577684527","55.0803629181818","33.0054678893422","43.132747814909","42.4437311528287","42.226681387933","54.6835335229854","61.4552517757464","29.6529057027698","37.8849706732121","42.0546690352823","31.5924418947818","42.1393385651555","51.8534428477356","44.7029432618605","51.1022095463096","49.4557341654926","61.2927398687335","44.1614745316037","53.9622416653744","58.7224491719636","",
"Djibouti","DJI","Market capitalization of listed domestic companies (% of GDP)","CM.MKT.LCAP.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Dominica","DMA","Market capitalization of listed domestic companies (% of GDP)","CM.MKT.LCAP.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Denmark","DNK","Market capitalization of listed domestic companies (% of GDP)","CM.MKT.LCAP.GD.ZS","","","","","","","","","","","","","","","","10.1298335992651","10.7682420557136","9.60139301264779","8.50606463657325","7.37531215930368","7.79317108483282","9.97540088191758","9.17904136032837","17.4079279720272","12.8382871026647","24.0930018234226","19.7116307944567","18.5901723645146","23.2654675217024","35.7835142161399","28.2555276000363","32.1728138748283","21.2461569815836","27.8872971420607","30.0990084654097","30.389107442699","37.882167637036","54.0360098164833","55.8643985693482","54.7593554115612","68.116166470737","51.6686417000014","42.9645924144055","55.7740358861288","60.2092779340612","","","","","","","","","","","","","","","","","",
"Dominican Republic","DOM","Market capitalization of listed domestic companies (% of GDP)","CM.MKT.LCAP.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Algeria","DZA","Market capitalization of listed domestic companies (% of GDP)","CM.MKT.LCAP.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.568739157147725","0.520704438772728","0.345522739189807","0.242866028378777","0.210236547377199","0.163000120159034","0.137335875877203","0.0805768625556879","0.0716146163350916","0.05340004485792","0.0656346684152797","0.0653893976583011","0.0983926866272333","0.0797935919990348","0.0843049599638206","0.0787095202688138","0.0867697026200598","0.258807007774808","0.207613278598389","0.212347351229589","","","",
"East Asia & Pacific (excluding high income)","EAP","Market capitalization of listed domestic companies (% of GDP)","CM.MKT.LCAP.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","38.8594863991563","32.5983443263882","27.6310061490847","47.7207408108211","115.728211770374","37.9359717208229","68.4146393292606","67.6193222997543","48.9613136180261","49.4176676879666","46.1112008028417","60.2720414684296","72.5590111815299","65.6996508371444","72.3080023134892","49.2188267638072","61.3246122920324","81.8254568983863","",
"Early-demographic dividend","EAR","Market capitalization of listed domestic companies (% of GDP)","CM.MKT.LCAP.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","34.0003919896102","24.7594263999565","38.377660170699","30.5797181479523","23.5048089804061","25.357279968554","36.3726252810672","44.9633879928753","51.5943567723375","61.6517821072027","83.2953404215837","37.2920130429216","64.1018039889575","66.8137631290997","47.7118204646898","54.9821109406719","54.9409639621732","57.4139563255222","54.4847884522482","55.6038536910979","66.5886846909094","57.574363003227","82.2797022017502","105.582967933725","",
"East Asia & Pacific","EAS","Market capitalization of listed domestic companies (% of GDP)","CM.MKT.LCAP.GD.ZS","","","","","","","","","","","","","","","","","","","4.56706159824088","28.656500582004","37.1745294813921","36.7521805359834","34.4536957545717","41.7333718758238","44.5458457066041","61.0443928175577","81.0973602822102","100.17470054083","113.150010803638","123.903270158623","82.2706109644418","76.7768709386316","57.5194770255579","74.4263989666359","76.4748408561433","67.3694434050119","69.2373558484033","51.242116686208","65.0935210218549","101.965507312132","69.7552263787953","62.9064091409865","59.8436798148727","70.3538954222214","74.7833694734303","85.6048047079087","101.809873654446","132.063248888794","60.4237355603323","91.955492359119","94.7902947448992","70.6281174196313","75.1336971297414","81.9717735463736","89.256646333658","99.214894565546","93.8650841239556","110.279960434178","82.8633581462026","99.5786007788401","124.404250132931","",
"Europe & Central Asia (excluding high income)","ECA","Market capitalization of listed domestic companies (% of GDP)","CM.MKT.LCAP.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","50.099877286951","49.6339173796277","31.1077566626593","35.3798733232065","27.5923826902372","18.6916479230941","24.3486338930233","34.6278844844581","33.2471382340054","27.9239435209007","38.3727154577554","40.601227609896","",
